,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
219,Solo: A Star Wars Story,Solo: A Star Wars Story,348350,"[878, 12, 28]",2018-05-15,68.579,6.6,8432,en,False
220,Iron Man 3,Iron Man 3,68721,"[28, 12, 878]",2013-04-18,68.572,6.9,22016,en,False
221,The Lion King II: Simba's Pride,The Lion King II: Simba's Pride,9732,"[10751, 12, 16, 28]",1998-10-24,68.443,6.951,4364,en,False
222,Rio,Rio,46195,"[16, 12, 35, 10751]",2011-04-03,68.018,6.7,6594,en,False
223,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,10140,"[12, 10751, 14]",2010-12-02,67.845,6.442,5527,en,False
224,A Bug's Life,A Bug's Life,9487,"[10751, 16, 12, 35]",1998-11-25,67.625,6.972,9054,en,False
225,Who Framed Roger Rabbit,Who Framed Roger Rabbit,856,"[14, 16, 35, 80]",1988-06-21,67.386,7.525,5616,en,False
226,The Preacher's Wife,The Preacher's Wife,21539,"[10751, 14, 18, 35, 10749]",1996-12-13,67.367,5.8,220,en,False
227,Crush,Crush,860159,"[35, 10749]",2022-04-29,66.892,7.448,417,en,False
228,Robin Hood,Robin Hood,11886,"[16, 10751, 12]",1973-11-08,66.882,7.3,4297,en,False
229,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,283995,"[878, 12, 28]",2017-04-19,66.871,7.6,21409,en,False
