,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
567,Wyatt Cenac's Problem Areas,Wyatt Cenac's Problem Areas,76420,"[35, 99, 10767]",2018-04-13,6.961,8.5,2,en,False
568,María Marta: el crimen del country,María Marta: The Country Club Crime,203822,"[80, 18]",2022-07-17,6.929,6.6,19,es,False
569,Deadly Influence: The Social Media Murders,Deadly Influence: The Social Media Murders,255805,"[80, 99]",2024-06-03,6.925,6.0,1,en,False
570,Garage Squad,Garage Squad,64892,[10764],2014-08-01,6.91,7.7,3,en,False
571,Murder Comes To Town,Murder Comes To Town,70582,"[80, 99, 18, 10764]",2014-01-13,6.909,7.9,12,en,False
572,Fantastic Friends,Fantastic Friends,205444,[99],2022-06-17,6.87,6.0,2,en,False
573,Fallen Idols: Nick and Aaron Carter,Fallen Idols: Nick and Aaron Carter,252729,"[99, 80]",2024-05-27,6.859,6.0,4,en,False
574,Salvage Dawgs,Salvage Dawgs,64897,[10764],2012-11-08,6.816,10.0,1,en,False
575,Boom Boom Bruno,Boom Boom Bruno,240561,"[80, 35]",2023-12-07,6.774,6.0,4,de,False
576,Rock the Block,Rock the Block,94702,[10764],2019-10-21,6.737,6.8,4,en,False
577,The Men Who Sold The World Cup,The Men Who Sold The World Cup,136855,[99],2021-10-21,6.699,4.7,4,en,False
578,Q: Into the Storm,Q: Into the Storm,119761,[99],2021-03-21,6.694,7.2,30,en,False
579,The Zoo,The Zoo,70299,"[99, 10764]",2017-02-18,6.673,5.8,12,en,False
580,Kindred Spirits,Kindred Spirits,68432,"[10764, 10765]",2016-10-21,6.66,7.357,14,en,False
581,Vale dos Esquecidos,The Forgotten Valley,209493,"[9648, 18]",2022-09-25,6.649,7.2,23,pt,False
582,Diesel Brothers,Diesel Brothers,65623,[10764],2016-01-04,6.632,8.3,13,en,False
583,Moebius,Moebius,125831,[9648],2021-05-17,6.612,5.3,3,ca,False
584,Legendary Locations,Legendary Locations,79129,[99],2017-09-27,6.604,8.7,10,en,False
585,Texas Metal,Texas Metal,75950,"[10764, 99]",2017-11-07,6.6,9.1,8,en,False
586,Undercover Underage,Undercover Underage,137527,"[80, 10764, 99]",2021-11-01,6.573,6.2,6,en,False
