,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
1638,W/ Bob & David,W/ Bob & David,64113,[35],2015-11-13,10.391,6.839,62,en,False
1639,M'entends-tu?,Can You Hear Me?,85789,"[35, 18]",2019-01-16,10.679,7.8,13,fr,False
1640,This Is Pop,This Is Pop,125972,[99],2021-03-06,14.207,5.643,14,en,False
1641,Wellmania,Wellmania,195841,"[35, 18]",2023-03-29,9.192,6.8,38,en,False
1642,Las Leyendas,Legend Quest,70420,"[16, 10762, 35]",2017-02-24,10.174,7.863,80,es,False
1643,American Conspiracy: The Octopus Murders,American Conspiracy: The Octopus Murders,244616,"[99, 80]",2024-02-28,8.891,7.0,18,en,False
1644,Caïd,Dealer,118241,"[10759, 80, 18]",2021-03-10,7.198,6.6,64,fr,False
1645,Tokyo Trial,Tokyo Trial,69090,"[18, 10768]",2016-12-12,9.124,6.5,12,en,False
1646,Blue Ribbon Baking Championship,Blue Ribbon Baking Championship,258923,[10764],2024-08-09,9.897,8.0,3,en,False
1647,The Last Bus,The Last Bus,169590,"[10765, 10751]",2022-04-01,10.494,6.6,24,en,False
1648,الصفقة,The Exchange,218184,[18],2023-02-08,7.333,7.6,10,ar,False
1649,Criminal: España,Criminal: Spain,93878,"[80, 18]",2019-09-20,7.751,6.6,83,es,False
1650,クリエイターズ・ファイル GOLD,Creator's File: GOLD,126840,"[35, 18]",2021-06-03,8.135,6.5,4,ja,False
1651,Dee & Friends in Oz,Dee & Friends in Oz,235997,"[10762, 16, 10765]",2024-02-05,7.077,0.0,0,en,False
1652,Mortel,Mortel,94801,"[10765, 80, 18]",2019-11-21,9.259,7.4,124,fr,False
1653,Kaulitz & Kaulitz,Kaulitz & Kaulitz,254721,[10764],2024-06-25,8.911,6.5,8,de,False
1654,Wir Sind Die Welle,We Are the Wave,94660,[18],2019-11-01,7.249,6.0,50,de,False
1655,Memorias de Idhún,The Idhun Chronicles,87846,"[10765, 16, 10759]",2020-09-10,6.24,6.9,58,es,False
1656,Love is Blind: México,Love Is Blind: Mexico,253028,[10764],2024-08-01,9.175,5.3,3,es,False
1657,Informacja zwrotna,Feedback,230370,"[18, 80]",2023-11-15,10.924,7.0,21,pl,False
1658,炎の転校生REBORN,Blazing Transfer Students,75009,"[10759, 35, 18]",2017-11-10,7.921,7.3,6,ja,False
1659,Don't F**k with Cats: Hunting an Internet Killer,Don't F**k with Cats: Hunting an Internet Killer,96129,"[80, 99]",2019-12-18,11.995,7.6,507,en,False
1660,Osmosis,Osmosis,85424,"[10765, 18]",2019-03-29,10.131,5.6,63,fr,False
1661,野武士のグルメ,Samurai Gourmet,70781,[35],2017-03-17,11.527,7.8,43,ja,False
1662,ラブ・イズ・ブラインド JAPAN,Love Is Blind: Japan,138436,[10764],2022-02-08,9.08,6.3,11,ja,False
1663,பாவக் கதைகள்,Paava Kadhaigal,114893,"[10751, 18]",2020-12-18,9.721,7.5,16,ta,False
1664,Fakes,Fakes,207841,"[80, 35]",2022-09-02,6.971,7.3,24,en,False
1665,Vatican Girl: la scomparsa di Emanuela Orlandi,Vatican Girl: The Disappearance of Emanuela Orlandi,212186,[99],2022-10-20,7.392,7.574,88,it,False
1666,Rebel Cheer Squad: A Get Even Series,Rebel Cheer Squad: A Get Even Series,196511,"[10751, 18, 9648]",2022-02-14,11.232,7.379,33,en,False
1667,ReBoot: The Guardian Code,ReBoot: The Guardian Code,78418,"[10759, 35, 18, 10765]",2018-06-04,8.288,6.0,27,en,False
1668,Hard Cell,Hard Cell,156407,[35],2022-04-12,8.531,5.4,18,en,False
1669,Big Vape: The Rise and Fall of Juul,Big Vape: The Rise and Fall of Juul,235540,[99],2023-10-11,7.753,6.8,16,en,False
1670,Wanderlust,Wanderlust,81902,[18],2018-09-04,7.617,6.289,38,en,False
1671,The Keepers,The Keepers,26101,"[99, 9648, 80]",2017-05-19,9.475,7.494,155,en,False
1672,未来日記,The Future Diary,138027,"[10764, 18]",2021-12-14,9.359,5.6,4,ja,False
1673,รักใช่ไหมที่หัวใจต้องการ,I Need Romance,128424,[18],2021-06-21,7.881,5.8,5,th,False
1674,השוטר הטוב,The Good Cop,85308,"[35, 18]",2015-08-15,8.342,6.2,4,he,False
1675,Motivos personales,Motivos personales,68577,[],2005-02-01,11.079,4.5,4,es,False
1676,Glória,Glória,109369,[18],2021-11-05,11.932,6.5,32,pt,False
1677,Benvinguts a la família,Welcome to the Family,76567,"[35, 10751]",2018-01-22,8.488,7.222,9,ca,False
1678,Llama Llama,Llama Llama,76663,"[16, 10762]",2018-01-26,13.555,6.5,8,en,False
1679,Las crónicas del taco,Taco Chronicles,91065,[99],2019-07-11,5.975,7.7,50,es,False
1680,Casi feliz,Almost Happy,102878,[35],2020-05-01,8.373,7.1,47,es,False
1681,Uysallar,Wild Abandon,158809,"[18, 35]",2022-03-30,6.272,6.8,27,tr,False
1682,Super PupZ,Super PupZ,194682,"[35, 10751, 10762]",2022-03-31,9.54,8.7,11,en,False
1683,THE MAGIC PRANK SHOW with Justin Willman,THE MAGIC PRANK SHOW with Justin Willman,248484,"[10764, 35]",2024-04-01,6.407,8.2,4,en,False
