,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
695,Song of Parkland,Song of Parkland,580638,[99],2019-02-07,0.679,6.8,6,en,False
696,Diagnosis Bipolar: Five Families Search for Answers,Diagnosis Bipolar: Five Families Search for Answers,248873,[99],2010-01-06,0.654,6.2,4,en,False
697,Torn Apart: Separated at the Border,Torn Apart: Separated at the Border,625323,[99],2019-10-10,0.645,6.3,3,en,False
698,Citizen USA: A 50 State Road Trip,Citizen USA: A 50 State Road Trip,82325,[99],2011-01-01,0.622,4.0,3,en,False
699,Under The Grapefruit Tree: The CC Sabathia Story,Under The Grapefruit Tree: The CC Sabathia Story,778743,[99],2020-12-22,0.616,7.3,5,en,False
700,Women of Troy,Women of Troy,677637,[99],2020-03-10,0.589,5.5,1,en,False
701,What Killed Maradona?,What Killed Maradona?,825031,[99],2021-01-06,0.554,8.0,2,en,False
702,Burning Ojai: Our Fire Story,Burning Ojai: Our Fire Story,755420,[99],2020-10-28,0.54,7.5,2,en,False
703,How We Get Free,How We Get Free,1104006,[99],2023-04-15,0.52,8.3,3,en,False
704,America Undercover: Life Afterlife,America Undercover: Life Afterlife,845302,"[10770, 99]",2000-11-10,0.506,7.0,1,en,False
705,Vika!,Vika!,1115708,"[99, 10402]",2023-12-26,0.418,10.0,2,pl,False
706,A jeśli jutro wojna się skończy?,What If The War Ends Tomorrow?,1312286,"[99, 10752]",2023-12-03,0.416,1.0,1,pl,False
707,Cigüeñas,Storks,554748,[18],2018-11-08,0.395,4.0,2,es,False
708,Plantasma,Plantasma,1281640,"[27, 18, 878, 14]",2022-11-01,0.386,0.0,0,en,False
709,España en dos trincheras. La guerra civil en color,España en dos trincheras. La guerra civil en color,671036,[99],2016-10-28,0.318,2.0,1,es,False
710,Paterno,Paterno,655969,[],2022-06-14,0.237,2.0,1,pt,False
711,Una decisión difícil,Una decisión difícil,1158283,[],2021-01-19,0.153,0.0,0,es,False
712,Ghost Adventures: Devil Island,Ghost Adventures: Devil Island,1187579,"[36, 99]",2023-10-04,0.098,10.0,1,en,False
713,Monólogos da Vacina,Monólogos da Vacina,1140344,[],2023-06-02,0.069,0.0,0,pt,False
714,Embarazados,Embarazados,841044,[],2015-12-31,0.042,5.0,1,es,False
715,The Grindr Killer Scandal: A Faking It Special,The Grindr Killer Scandal: A Faking It Special,1358140,[],,0.004,0.0,0,en,False
