,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
63,Mejor viuda que mal acompañada,Killer Babes,1227624,"[35, 80, 53]",2024-09-06,131.112,7.8,27,es,False
64,ROAD TO NINJA -NARUTO THE MOVIE-,Road to Ninja: Naruto the Movie,118406,"[16, 14, 28]",2012-07-28,89.467,7.4,1148,ja,False
65,Talk to Me,Talk to Me,1008042,[27],2023-07-26,128.915,7.152,2870,en,False
66,The Bench,The Bench,1307178,[27],2024-06-21,134.244,0.0,0,en,False
67,Spectre,Spectre,206647,"[28, 12, 53]",2015-10-26,148.798,6.55,10419,en,False
68,It,It,346364,[27],2017-09-06,148.645,7.2,18894,en,False
69,Guy Ritchie's The Covenant,Guy Ritchie's The Covenant,882569,"[10752, 28, 53]",2023-04-19,147.955,7.761,2436,en,False
70,Bride of Chucky,Bride of Chucky,11932,"[35, 27]",1998-10-16,85.061,6.056,1887,en,False
71,Monkey Man,Monkey Man,560016,"[28, 53]",2024-04-03,119.178,7.003,859,en,False
72,Inception,Inception,27205,"[28, 878, 12]",2010-07-15,144.005,8.4,36377,en,False
73,Mad Max: Fury Road,Mad Max: Fury Road,76341,"[28, 12, 878]",2015-05-13,114.524,7.614,22457,en,False
74,The Last Kumite,The Last Kumite,1115623,[28],2024-05-09,120.817,6.8,98,en,False
75,Penguins of Madagascar,Penguins of Madagascar,270946,"[10751, 16, 12, 35]",2014-11-22,139.691,6.5,4103,en,False
76,Wrong Turn,Wrong Turn,630586,"[27, 53]",2021-01-26,125.301,5.977,1119,en,False
77,Stargate,Stargate,2164,"[28, 12, 878]",1994-10-28,137.386,7.005,3374,en,False
78,After,After,537915,"[10749, 18]",2019-04-11,96.865,7.128,8164,en,False
79,Dead for a Dollar,Dead for a Dollar,843380,"[37, 53, 28]",2022-09-30,62.205,5.863,244,en,False
80,The OctoGames,The OctoGames,1028703,"[53, 28, 27]",2022-10-07,112.382,5.4,118,en,False
81,Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,384018,"[28, 12, 35]",2019-08-01,97.011,6.86,7126,en,False
82,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,49051,"[12, 14, 28]",2012-12-12,123.492,7.356,18252,en,False
83,劇場版 NARUTO -ナルト- 疾風伝,Naruto Shippuden the Movie,20982,"[16, 28, 14]",2007-08-04,132.847,7.4,959,ja,False
84,Terminator 2: Judgment Day,Terminator 2: Judgment Day,280,"[28, 53, 878]",1991-07-03,131.953,8.1,12756,en,False
85,Pride & Prejudice,Pride & Prejudice,4348,"[18, 10749]",2005-09-16,131.531,8.077,7960,en,False
86,僕のヒーローアカデミア THE MOVIE ワールド ヒーローズ ミッション,My Hero Academia: World Heroes' Mission,768744,"[16, 28, 12, 878, 14]",2021-08-06,95.849,7.592,529,ja,False
87,The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,1735,"[12, 28, 14]",2008-07-01,56.243,5.493,4386,en,False
88,Valkyrie,Valkyrie,2253,"[18, 53, 10752]",2008-12-25,101.059,6.935,3650,en,False
89,ONE PIECE FILM RED,One Piece Film Red,900667,"[16, 12, 28, 14, 10402]",2022-08-06,110.759,7.2,989,ja,False
90,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,601,"[878, 12, 10751, 14]",1982-06-11,68.213,7.518,11096,en,False
91,Suicide Squad,Suicide Squad,297761,"[28, 12, 14]",2016-08-03,90.772,5.9,20981,en,False
92,Child's Play,Child's Play,10585,[27],1988-11-09,69.073,6.713,2930,en,False
93,The Tomorrow War,The Tomorrow War,588228,"[28, 878, 12]",2021-09-03,96.967,7.531,3384,en,False
94,Midsommar,Midsommar,530385,"[27, 18, 9648]",2019-07-03,124.999,7.2,6996,en,False
95,Pacific Rim: Uprising,Pacific Rim: Uprising,268896,"[28, 14, 878, 12]",2018-03-21,68.104,6.1,4883,en,False
96,Ghostbusters: Afterlife,Ghostbusters: Afterlife,425909,"[14, 35, 12, 878]",2021-11-18,123.854,7.386,4546,en,False
97,Attack of the Meth Gator,Attack of the Meth Gator,1091298,"[27, 878, 28]",2024-09-05,120.105,5.425,20,en,False
98,A Most Violent Year,A Most Violent Year,241239,"[80, 18, 53]",2014-12-31,52.828,6.605,1386,en,False
99,Total Recall,Total Recall,861,"[28, 12, 878]",1990-06-01,62.413,7.304,5709,en,False
100,Tres metros sobre el cielo,Three Steps Above Heaven,61979,"[10749, 18]",2010-12-03,122.819,7.7,3037,es,False
101,After We Collided,After We Collided,613504,"[10749, 18]",2020-09-02,120.158,7.2,5265,en,False
102,Role Play,Role Play,848187,"[28, 35, 10749]",2023-12-14,50.85,6.0,515,en,False
103,The Exorcism of God,The Exorcism of God,836225,"[27, 80, 18, 14]",2022-03-11,96.962,7.1,1059,en,False
104,How to Train Your Dragon 2,How to Train Your Dragon 2,82702,"[14, 28, 12, 16, 35, 10751]",2014-06-05,77.456,7.674,9474,en,False
105,Non-Stop,Non-Stop,225574,"[28, 53, 9648]",2014-02-26,118.069,6.8,5280,en,False
106,Shutter Island,Shutter Island,11324,"[18, 53, 9648]",2010-02-14,75.783,8.202,23786,en,False
107,Death Race,Death Race,10483,"[28, 53, 878]",2008-08-22,50.107,6.3,3709,en,False
108,Misery,Misery,1700,"[18, 53]",1990-11-30,50.0,7.8,4588,en,False
109,The Hundred-Foot Journey,The Hundred-Foot Journey,228194,"[18, 35]",2014-08-06,115.452,7.308,1410,en,False
110,Мира,Mira,864101,"[878, 18, 12, 10751]",2022-12-22,52.894,7.7,282,ru,False
111,Contratiempo,The Invisible Guest,411088,"[18, 9648, 53]",2017-01-06,49.198,8.113,4490,es,False
112,John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,458156,"[28, 53, 80]",2019-05-15,113.964,7.447,10508,en,False
113,The Magnificent Seven,The Magnificent Seven,333484,"[12, 28, 37]",2016-09-14,51.138,6.4,5847,en,False
114,Murder on the Orient Express,Murder on the Orient Express,4176,"[18, 53, 9648]",1974-11-22,48.422,7.1,1390,en,False
115,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,57158,"[14, 12, 28]",2013-12-11,80.822,7.6,13030,en,False
116,Мавка: Лісова пісня,Mavka: The Forest Song,459003,"[16, 12, 10751, 14]",2023-03-02,88.494,7.245,723,uk,False
117,The Outsiders,The Outsiders,227,"[80, 18]",1983-03-25,100.912,7.2,1334,en,False
118,How the Grinch Stole Christmas,How the Grinch Stole Christmas,8871,"[10751, 35, 14]",2000-11-17,110.407,6.759,7320,en,False
119,Apocalypse Now,Apocalypse Now,28,"[18, 10752]",1979-08-15,110.191,8.3,8142,en,False
120,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,351286,"[28, 12, 878, 53]",2018-06-06,109.987,6.5,11692,en,False
121,Последний богатырь: Корень зла,The Last Warrior: Root of Evil,589754,"[14, 12, 35]",2020-12-24,52.989,6.8,168,ru,False
122,After We Fell,After We Fell,744275,"[10749, 18]",2021-09-01,83.925,7.063,2551,en,False
123,Tomorrow Never Dies,Tomorrow Never Dies,714,"[12, 28, 53]",1997-12-11,52.147,6.4,3031,en,False
124,Cobweb,Cobweb,709631,[27],2023-07-19,108.408,6.51,819,en,False
125,May December,May December,839369,[18],2023-11-16,46.382,6.645,710,en,False
126,Jurassic World,Jurassic World,135397,"[28, 12, 878, 53]",2015-06-06,88.552,6.7,20227,en,False
127,Madagascar,Madagascar,953,"[10751, 16, 12, 35]",2005-05-25,70.533,6.909,10750,en,False
128,After Everything,After Everything,820525,"[10749, 18]",2023-09-13,75.314,6.9,830,en,False
129,The Green Inferno,The Green Inferno,171424,"[12, 27]",2013-09-08,46.245,5.7,1409,en,False
130,Apocalypto,Apocalypto,1579,"[28, 18, 36]",2006-12-07,90.484,7.6,5485,en,False
131,Deep Water,Deep Water,619979,"[18, 9648, 53]",2022-03-18,106.407,5.811,1346,en,False
132,The Perfect Storm,The Perfect Storm,2133,"[28, 12, 18, 53]",2000-06-29,105.665,6.5,2269,en,False
133,Monster High: The Movie,Monster High: The Movie,335795,"[10751, 14, 35, 12]",2022-10-06,46.082,6.9,262,en,False
134,악인전,"The Gangster, the Cop, the Devil",581528,"[80, 28, 53]",2019-05-15,71.019,7.793,1121,ko,False
135,The Mummy,The Mummy,564,"[12, 28, 14]",1999-04-16,69.51,6.937,8970,en,False
136,War,War,10431,"[28, 53]",2007-08-24,104.356,6.3,1724,en,False
137,Sayen: La cazadora,Sayen: The Huntress,850888,"[28, 53]",2024-04-26,52.247,5.85,159,es,False
138,Arthur the King,Arthur the King,618588,"[12, 18]",2024-03-15,103.739,7.826,602,en,False
139,A Bronx Tale,A Bronx Tale,1607,"[18, 80]",1993-10-01,66.288,7.865,2439,en,False
140,Taxi 2,Taxi 2,2332,"[28, 35]",2000-03-25,102.978,6.2,1699,fr,False
141,Sing,Sing,335797,"[16, 35, 10751, 10402]",2016-11-23,73.473,7.1,7866,en,False
142,ヱヴァンゲリヲン新劇場版：破,Evangelion: 2.0 You Can (Not) Advance,22843,"[16, 878, 28, 18]",2009-06-26,99.493,7.8,853,ja,False
143,Mamma Mia!,Mamma Mia!,11631,"[35, 10749]",2008-07-03,43.928,6.979,6450,en,False
144,Licence to Kill,Licence to Kill,709,"[12, 28, 53]",1989-06-13,71.46,6.4,1889,en,False
145,"Momonsters, La Película","Momonsters, La Película",1211836,[16],2023-12-06,85.994,0.0,0,es,False
